"Step","ex_iid - test/acc","ex_iid - test/acc__MIN","ex_iid - test/acc__MAX"
"427","0.9873","0.9873","0.9873"
"428","0.9883","0.9883","0.9883"
"429","0.9875","0.9875","0.9875"
"430","0.9877","0.9877","0.9877"
"431","0.9863","0.9863","0.9863"
"432","0.988","0.988","0.988"
"433","0.9877","0.9877","0.9877"
"434","0.9875","0.9875","0.9875"
"435","0.988","0.988","0.988"
"436","0.9869","0.9869","0.9869"
"437","0.9875","0.9875","0.9875"
"438","0.9866","0.9866","0.9866"
"439","0.9882","0.9882","0.9882"
"440","0.9873","0.9873","0.9873"
"441","0.988","0.988","0.988"
"442","0.9875","0.9875","0.9875"
"443","0.9873","0.9873","0.9873"
"444","0.9874","0.9874","0.9874"
"445","0.9887","0.9887","0.9887"
"446","0.9877","0.9877","0.9877"
"447","0.9882","0.9882","0.9882"
"448","0.9869","0.9869","0.9869"
"449","0.9878","0.9878","0.9878"
"450","0.9877","0.9877","0.9877"
"451","0.987","0.987","0.987"
"452","0.9882","0.9882","0.9882"
"453","0.9882","0.9882","0.9882"
"454","0.9872","0.9872","0.9872"
"455","0.9875","0.9875","0.9875"
"456","0.9877","0.9877","0.9877"
"457","0.9882","0.9882","0.9882"
"458","0.9873","0.9873","0.9873"
"459","0.9884","0.9884","0.9884"
"460","0.9884","0.9884","0.9884"
"461","0.988","0.988","0.988"
"462","0.9878","0.9878","0.9878"
"463","0.9883","0.9883","0.9883"
"464","0.9877","0.9877","0.9877"
"465","0.9879","0.9879","0.9879"
"466","0.9867","0.9867","0.9867"
"467","0.9883","0.9883","0.9883"
"468","0.9871","0.9871","0.9871"
"469","0.9881","0.9881","0.9881"
"470","0.9882","0.9882","0.9882"
"471","0.9883","0.9883","0.9883"
"472","0.9882","0.9882","0.9882"
"473","0.9886","0.9886","0.9886"
"474","0.988","0.988","0.988"
"475","0.9884","0.9884","0.9884"
"476","0.9872","0.9872","0.9872"
"477","0.9879","0.9879","0.9879"
"478","0.9877","0.9877","0.9877"
"479","0.9883","0.9883","0.9883"
"480","0.9884","0.9884","0.9884"
"481","0.9874","0.9874","0.9874"
"482","0.9874","0.9874","0.9874"
"483","0.9882","0.9882","0.9882"
"484","0.9866","0.9866","0.9866"
"485","0.9886","0.9886","0.9886"
"486","0.9879","0.9879","0.9879"
"487","0.9878","0.9878","0.9878"
"488","0.9887","0.9887","0.9887"
"489","0.9885","0.9885","0.9885"
"490","0.9884","0.9884","0.9884"
"491","0.9888","0.9888","0.9888"
"492","0.9891","0.9891","0.9891"
"493","0.9876","0.9876","0.9876"
"494","0.988","0.988","0.988"
"495","0.9885","0.9885","0.9885"
"496","0.9873","0.9873","0.9873"
"497","0.9885","0.9885","0.9885"
"498","0.9891","0.9891","0.9891"
"499","0.9885","0.9885","0.9885"
"500","0.9879","0.9879","0.9879"
"501","0.9883","0.9883","0.9883"
"502","0.9891","0.9891","0.9891"
"503","0.9882","0.9882","0.9882"
"504","0.9889","0.9889","0.9889"
"505","0.9888","0.9888","0.9888"
"506","0.9881","0.9881","0.9881"
"507","0.9886","0.9886","0.9886"
"508","0.9878","0.9878","0.9878"
"509","0.9886","0.9886","0.9886"
"510","0.9888","0.9888","0.9888"
"511","0.9882","0.9882","0.9882"
"512","0.9891","0.9891","0.9891"
"513","0.9874","0.9874","0.9874"
"514","0.9882","0.9882","0.9882"
