"Step","exp_iid - test/acc","exp_iid - test/acc__MIN","exp_iid - test/acc__MAX"
"463","0.9863","0.9863","0.9863"
"464","0.9874","0.9874","0.9874"
"465","0.9878","0.9878","0.9878"
"466","0.9876","0.9876","0.9876"
"467","0.9877","0.9877","0.9877"
"468","0.9875","0.9875","0.9875"
"469","0.988","0.988","0.988"
"470","0.9882","0.9882","0.9882"
"471","0.9875","0.9875","0.9875"
"472","0.9875","0.9875","0.9875"
"473","0.9866","0.9866","0.9866"
"474","0.9882","0.9882","0.9882"
"475","0.9883","0.9883","0.9883"
"476","0.9877","0.9877","0.9877"
"477","0.9879","0.9879","0.9879"
"478","0.9881","0.9881","0.9881"
"479","0.9873","0.9873","0.9873"
"480","0.9882","0.9882","0.9882"
"481","0.9874","0.9874","0.9874"
"482","0.987","0.987","0.987"
"483","0.9878","0.9878","0.9878"
"484","0.9888","0.9888","0.9888"
"485","0.987","0.987","0.987"
"486","0.988","0.988","0.988"
"487","0.9872","0.9872","0.9872"
"488","0.9879","0.9879","0.9879"
"489","0.9871","0.9871","0.9871"
"490","0.9878","0.9878","0.9878"
"491","0.9878","0.9878","0.9878"
"492","0.9882","0.9882","0.9882"
"493","0.9881","0.9881","0.9881"
"494","0.9876","0.9876","0.9876"
"495","0.988","0.988","0.988"
"496","0.987","0.987","0.987"
"497","0.9886","0.9886","0.9886"
"498","0.9883","0.9883","0.9883"
"499","0.988","0.988","0.988"
"500","0.9881","0.9881","0.9881"
"501","0.9886","0.9886","0.9886"
"502","0.9874","0.9874","0.9874"
"503","0.9882","0.9882","0.9882"
"504","0.9886","0.9886","0.9886"
"505","0.9883","0.9883","0.9883"
"506","0.9878","0.9878","0.9878"
"507","0.9874","0.9874","0.9874"
"508","0.9879","0.9879","0.9879"
"509","0.9884","0.9884","0.9884"
"510","0.9884","0.9884","0.9884"
"511","0.988","0.988","0.988"
"512","0.9879","0.9879","0.9879"
"513","0.9882","0.9882","0.9882"
"514","0.9879","0.9879","0.9879"
"515","0.988","0.988","0.988"
"516","0.9883","0.9883","0.9883"
"517","0.9872","0.9872","0.9872"
"518","0.9871","0.9871","0.9871"
"519","0.9877","0.9877","0.9877"
"520","0.9879","0.9879","0.9879"
"521","0.9866","0.9866","0.9866"
"522","0.987","0.987","0.987"
"523","0.9873","0.9873","0.9873"
"524","0.9879","0.9879","0.9879"
"525","0.9882","0.9882","0.9882"
"526","0.9888","0.9888","0.9888"
"527","0.9882","0.9882","0.9882"
"528","0.988","0.988","0.988"
"529","0.9878","0.9878","0.9878"
"530","0.9875","0.9875","0.9875"
"531","0.9883","0.9883","0.9883"
"532","0.9889","0.9889","0.9889"
"533","0.9883","0.9883","0.9883"
"534","0.989","0.989","0.989"
"535","0.9883","0.9883","0.9883"
"536","0.9887","0.9887","0.9887"
"537","0.9884","0.9884","0.9884"
"538","0.9877","0.9877","0.9877"
"539","0.9889","0.9889","0.9889"
"540","0.9876","0.9876","0.9876"
"541","0.9879","0.9879","0.9879"
"542","0.9877","0.9877","0.9877"
"543","0.9888","0.9888","0.9888"
"544","0.9886","0.9886","0.9886"
"545","0.989","0.989","0.989"
"546","0.9889","0.9889","0.9889"
"547","0.9884","0.9884","0.9884"
"548","0.9875","0.9875","0.9875"
"549","0.989","0.989","0.989"
"550","0.989","0.989","0.989"
"551","0.9881","0.9881","0.9881"
"552","0.9881","0.9881","0.9881"
"553","0.9893","0.9893","0.9893"
"554","0.9882","0.9882","0.9882"
"555","0.9885","0.9885","0.9885"
"556","0.988","0.988","0.988"
"557","0.9885","0.9885","0.9885"
"558","0.9892","0.9892","0.9892"
"559","0.9881","0.9881","0.9881"
"560","0.9897","0.9897","0.9897"
"561","0.9884","0.9884","0.9884"
"562","0.9881","0.9881","0.9881"
"563","0.989","0.989","0.989"
"564","0.9883","0.9883","0.9883"
"565","0.9889","0.9889","0.9889"
"566","0.9895","0.9895","0.9895"
"567","0.9891","0.9891","0.9891"
"568","0.9889","0.9889","0.9889"
"569","0.9874","0.9874","0.9874"
"570","0.989","0.989","0.989"
"571","0.9887","0.9887","0.9887"
"572","0.9887","0.9887","0.9887"
"573","0.9887","0.9887","0.9887"
"574","0.989","0.989","0.989"
"575","0.99","0.99","0.99"
